date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:38:14	0/0	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Sat,%2022%20Mar%202014%2008:38:14%20GMT	http://redteamux.com/robots.txt		(from )
02:38:18	90850/90850	U--MC-	200	updated ('OK')	text/html	date:Sat,%2022%20Mar%202014%2008:38:14%20GMT	http://redteamux.com/avant/index.php	C:/Users/Adalberto/Documents/Downloaded%20Sites/Avant%201.2.2/redteamux.com/avant/index.html	(from )
02:38:18	0/0	---M--	200	added ('OK')	text/css	etag:%2278c06b6-0-4efdb6a30a049%22	http://redteamux.com/avant/assets/demo/variations/default.css	C:/Users/Adalberto/Documents/Downloaded%20Sites/Avant%201.2.2/redteamux.com/avant/assets/demo/variations/default.2.delayed	(from http://redteamux.com/avant/index.php)
02:38:18	285790/285790	U-----	200	untouched ('OK')	text/css	etag:%2278c0681-45c5e-4efdb6a2f6bad%22	http://redteamux.com/avant/assets/css/styles.min.css?=121	C:/Users/Adalberto/Documents/Downloaded%20Sites/Avant%201.2.2/redteamux.com/avant/assets/css/styles.mincce7.css	(from http://redteamux.com/avant/index.php)
02:38:18	0/0	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Sat,%2022%20Mar%202014%2008:38:18%20GMT	http://redteamux.com/avant/sidebar-lavender.css	C:/Users/Adalberto/Documents/Downloaded%20Sites/Avant%201.2.2/redteamux.com/avant/sidebar-lavender.3.delayed	(from http://redteamux.com/avant/index.php)
02:38:19	3795/3795	U-----	200	untouched ('OK')	text/css	etag:%2278c09d7-ed3-4efdb6a3e15c1%22	http://redteamux.com/avant/assets/plugins/form-daterangepicker/daterangepicker-bs3.css	C:/Users/Adalberto/Documents/Downloaded%20Sites/Avant%201.2.2/redteamux.com/avant/assets/plugins/form-daterangepicker/daterangepicker-bs3.css	(from http://redteamux.com/avant/index.php)
02:38:19	899/899	U--MC-	200	updated ('OK')	text/css	date:Sat,%2022%20Mar%202014%2008:38:18%20GMT	http://fonts.googleapis.com/css?family=Source+Sans+Pro:300,400,600	C:/Users/Adalberto/Documents/Downloaded%20Sites/Avant%201.2.2/fonts.googleapis.com/css28a2.css	(from http://redteamux.com/avant/index.php)
02:38:19	7992/7992	U-----	200	untouched ('OK')	text/css	etag:%2278e2636-1f38-4efdb6a4d2565%22	http://redteamux.com/avant/assets/plugins/fullcalendar/fullcalendar.css	C:/Users/Adalberto/Documents/Downloaded%20Sites/Avant%201.2.2/redteamux.com/avant/assets/plugins/fullcalendar/fullcalendar.css	(from http://redteamux.com/avant/index.php)
02:38:20	1477/1477	U-----	200	untouched ('OK')	text/css	etag:%2278e2621-5c5-4efdb6a4ac016%22	http://redteamux.com/avant/assets/plugins/form-markdown/css/bootstrap-markdown.min.css	C:/Users/Adalberto/Documents/Downloaded%20Sites/Avant%201.2.2/redteamux.com/avant/assets/plugins/form-markdown/css/bootstrap-markdown.min.css	(from http://redteamux.com/avant/index.php)
02:38:20	1399/1399	U-----	200	untouched ('OK')	text/css	etag:%2278e108b-577-4efdb6a41d6bc%22	http://redteamux.com/avant/assets/plugins/codeprettifier/prettify.css	C:/Users/Adalberto/Documents/Downloaded%20Sites/Avant%201.2.2/redteamux.com/avant/assets/plugins/codeprettifier/prettify.css	(from http://redteamux.com/avant/index.php)
02:38:20	1174/1174	U-----	200	untouched ('OK')	text/css	etag:%2278e2669-496-4efdb6a500f86%22	http://redteamux.com/avant/assets/plugins/form-toggle/toggles.css	C:/Users/Adalberto/Documents/Downloaded%20Sites/Avant%201.2.2/redteamux.com/avant/assets/plugins/form-toggle/toggles.css	(from http://redteamux.com/avant/index.php)
02:38:20	22988/22988	U-----	200	untouched ('')	text/javascript	date:Thu,%2027%20Feb%202014%2000:48:09%20GMT	http://www.google-analytics.com/analytics.js	C:/Users/Adalberto/Documents/Downloaded%20Sites/Avant%201.2.2/www.google-analytics.com/analytics.js	(from http://redteamux.com/avant/index.php)
02:38:21	13474/13474	U-----	200	untouched ('')	image/png	etag:%2278c0760-34a2-4efdb6a336741%22	http://redteamux.com/avant/assets/demo/avatar/dangerfield.png	C:/Users/Adalberto/Documents/Downloaded%20Sites/Avant%201.2.2/redteamux.com/avant/assets/demo/avatar/dangerfield.png	(from http://redteamux.com/avant/index.php)
02:38:21	13630/13630	U-----	200	untouched ('')	image/png	etag:%2278c076a-353e-4efdb6a339df2%22	http://redteamux.com/avant/assets/demo/avatar/doyle.png	C:/Users/Adalberto/Documents/Downloaded%20Sites/Avant%201.2.2/redteamux.com/avant/assets/demo/avatar/doyle.png	(from http://redteamux.com/avant/index.php)
02:38:21	22843/22843	U-----	200	untouched ('')	image/png	etag:%2278c0766-593b-4efdb6a3372f9%22	http://redteamux.com/avant/assets/demo/avatar/paton.png	C:/Users/Adalberto/Documents/Downloaded%20Sites/Avant%201.2.2/redteamux.com/avant/assets/demo/avatar/paton.png	(from http://redteamux.com/avant/index.php)
02:38:22	77/77	U--MCZ	200	updated ('OK')	text/plain	date:Sat,%2022%20Mar%202014%2008:38:21%20GMT	http://fonts.googleapis.com/robots.txt		(from http://redteamux.com/avant/index.php)
02:38:22	26978/26978	U-----	200	untouched ('')	image/png	etag:%2278c076d-6962-4efdb6a33a1da%22	http://redteamux.com/avant/assets/demo/avatar/corbett.png	C:/Users/Adalberto/Documents/Downloaded%20Sites/Avant%201.2.2/redteamux.com/avant/assets/demo/avatar/corbett.png	(from http://redteamux.com/avant/index.php)
02:38:22	24158/24158	U-----	200	untouched ('')	image/png	etag:%2278c0775-5e5e-4efdb6a33ccd2%22	http://redteamux.com/avant/assets/demo/avatar/tennant.png	C:/Users/Adalberto/Documents/Downloaded%20Sites/Avant%201.2.2/redteamux.com/avant/assets/demo/avatar/tennant.png	(from http://redteamux.com/avant/index.php)
02:38:22	0/0	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Sat,%2022%20Mar%202014%2008:38:21%20GMT	http://redteamux.com/avant/header-black.css	C:/Users/Adalberto/Documents/Downloaded%20Sites/Avant%201.2.2/redteamux.com/avant/header-black.html	(from http://redteamux.com/avant/index.php)
02:38:23	0/0	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Sat,%2022%20Mar%202014%2008:38:22%20GMT	http://redteamux.com/avant/default.css	C:/Users/Adalberto/Documents/Downloaded%20Sites/Avant%201.2.2/redteamux.com/avant/default.html	(from http://redteamux.com/avant/index.php)
02:38:23	0/0	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Sat,%2022%20Mar%202014%2008:38:22%20GMT	http://redteamux.com/avant/header-red.css	C:/Users/Adalberto/Documents/Downloaded%20Sites/Avant%201.2.2/redteamux.com/avant/header-red.html	(from http://redteamux.com/avant/index.php)
02:38:23	0/0	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Sat,%2022%20Mar%202014%2008:38:22%20GMT	http://redteamux.com/avant/header-blue.css	C:/Users/Adalberto/Documents/Downloaded%20Sites/Avant%201.2.2/redteamux.com/avant/header-blue.html	(from http://redteamux.com/avant/index.php)
02:38:23	0/0	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Sat,%2022%20Mar%202014%2008:38:23%20GMT	http://redteamux.com/avant/sidebar-steel.css	C:/Users/Adalberto/Documents/Downloaded%20Sites/Avant%201.2.2/redteamux.com/avant/sidebar-steel.html	(from http://redteamux.com/avant/index.php)
02:38:24	0/0	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Sat,%2022%20Mar%202014%2008:38:23%20GMT	http://redteamux.com/avant/sidebar-green.css	C:/Users/Adalberto/Documents/Downloaded%20Sites/Avant%201.2.2/redteamux.com/avant/sidebar-green.html	(from http://redteamux.com/avant/index.php)
